category,file_name,source_path,source_relative_path,size_bytes,sha256,duplicate_count,raw_label,mapped_label,trainable,source_type,source_url,resolved_download_url,provenance_status,expert_username,expert_quote,parse_message_count,parse_message_types
verified_labeled,log_0007_vibration_high.bin,downloads/log_0007_vibration_high.bin,downloads/log_0007_vibration_high.bin,894088,00afa36e545470c4379352efc54c3dffdd81381ae3bae19890a1cfa1c96dec40,1,VIBRATION_HIGH,vibration_high,true,ArduPilot_Discuss,https://discuss.ardupilot.org/t/unstable-drone-after-takeoff-crashes/43780,https://discuss.ardupilot.org/uploads/default/original/3X/4/d/4d5d0263578b30d894308c2e124f0a2cc3cdc1e6.bin,downloaded,,,3000,51
verified_labeled,log_0009_compass_interference.bin,downloads/log_0009_compass_interference.bin,downloads/log_0009_compass_interference.bin,94208,12ee853194f5dd8c499850d524eb385c25e34f36e5d39e41a2db716781576a9c,1,COMPASS_INTERFERENCE,compass_interference,true,ArduPilot_Discuss,https://discuss.ardupilot.org/t/crash-analysis-strange-flight-behavior/33345,https://discuss.ardupilot.org/uploads/default/original/3X/0/b/0beedf6d3ca0b7cfee74a05c5236accaf7161563.BIN,downloaded,,,2510,30
verified_labeled,log_0010_compass_interference.bin,downloads/log_0010_compass_interference.bin,downloads/log_0010_compass_interference.bin,376832,16c0fe0044cff1cc632979a2355a9869b1911f445f96766d8bb997a3df653ded,1,COMPASS_INTERFERENCE,compass_interference,true,ArduPilot_Discuss,https://discuss.ardupilot.org/t/major-ek2-fail-and-big-crash/19650,https://discuss.ardupilot.org/uploads/default/original/2X/1/1ddc2051ccc5fd63ccf9aee6528a05afacc9e5d3.bin,downloaded,,,3000,39
verified_labeled,log_0004_vibration_high.bin,downloads/log_0004_vibration_high.bin,downloads/log_0004_vibration_high.bin,1132316,1820618f38d81507a1e95ef22f743fbc50817348046d542d9db765ccace2a9d3,1,VIBRATION_HIGH,vibration_high,true,ArduPilot_Discuss,https://discuss.ardupilot.org/t/is-there-a-vibration-issue-here/15264,https://discuss.ardupilot.org/uploads/default/original/2X/4/432a250d1ee9eba3884d92235219876f0514a8d1.bin,downloaded,,,3000,40
verified_labeled,log_0001_vibration_high.bin,downloads/log_0001_vibration_high.bin,downloads/log_0001_vibration_high.bin,987473,33c535f6f0edb143bb85909901be52bd73542206e3116ae9ddf22b1c42606cfb,1,VIBRATION_HIGH,vibration_high,true,ArduPilot_Discuss,https://discuss.ardupilot.org/t/crash-help-with-bin-analysis/42329,https://discuss.ardupilot.org/uploads/default/original/3X/7/6/76e9fe83154fe88ff318770a60b493056acb5ad0.bin,downloaded,,,3000,50
verified_labeled,log_0003_vibration_high.bin,downloads/log_0003_vibration_high.bin,downloads/log_0003_vibration_high.bin,3911181,7065a3cd0fbd3c5ce178964dcbb64979fc878d0900fc5f5cb6f30d60d3d9d794,1,VIBRATION_HIGH,vibration_high,true,ArduPilot_Discuss,https://discuss.ardupilot.org/t/crash-hexacopter-suddenly-crashed-while-auto/83521,https://www.dropbox.com/s/dunql28hfaatnw6/crash.BIN?dl=1,downloaded,,,3000,49
verified_labeled,log_0005_vibration_high.bin,downloads/log_0005_vibration_high.bin,downloads/log_0005_vibration_high.bin,3941630,a004f350c296ae9f396c8756a95c8b0049913ccc8973c5faf0230eba013ec91d,1,VIBRATION_HIGH,vibration_high,true,ArduPilot_Discuss,https://discuss.ardupilot.org/t/loiter-mode-climb-drift-and-crash/7594,https://www.dropbox.com/s/989sciu6lhluz61/Flight%20log.BIN?dl=1,downloaded,,,3000,34
verified_labeled,log_0006_vibration_high.bin,downloads/log_0006_vibration_high.bin,downloads/log_0006_vibration_high.bin,830387,a7290a8733f121989317d53052b0c6eb58b643dd135938f0c3d3614dbb945d04,1,VIBRATION_HIGH,vibration_high,true,ArduPilot_Discuss,https://discuss.ardupilot.org/t/automission-misses-wp2-flyaway-crash/19146,https://discuss.ardupilot.org/uploads/default/original/2X/1/1a986c229c77716723b88a520e04cacb91ae6803.BIN,downloaded,,,3000,40
verified_labeled,log_0008_compass_interference.bin,downloads/log_0008_compass_interference.bin,downloads/log_0008_compass_interference.bin,806912,b0db91ee3d6a7f0af25dbc4cf97a65e1287a47d8b91fc4973fd5d555f8aab8c0,1,COMPASS_INTERFERENCE,compass_interference,true,ArduPilot_Discuss,https://discuss.ardupilot.org/t/hexacopter-drifting-away-crash-log-video/26675,https://discuss.ardupilot.org/uploads/default/original/2X/a/ae37876c5612fc9b39ec4f964e98711c1486eb27.BIN,downloaded,,,3000,42
verified_labeled,log_0012_gps_quality_poor.bin,downloads/log_0012_gps_quality_poor.bin,downloads/log_0012_gps_quality_poor.bin,920999,b9daccd2634d195c9a9312b31e6aa43a5a0a775109a04b6eb57afa61d9c081ef,1,GPS_QUALITY_POOR,gps_quality_poor,true,ArduPilot_Discuss,https://discuss.ardupilot.org/t/3dr-iris-crashed-after-3-successful-waypoints-mission/9269,https://discuss.ardupilot.org/uploads/default/original/2X/a/adab74336ca2529838e73deed416877ddca176de.BIN,downloaded,,,3000,29
