category,file_name,source_path,source_relative_path,size_bytes,sha256,duplicate_count,raw_label,mapped_label,trainable,source_type,source_url,resolved_download_url,provenance_status,expert_username,expert_quote,parse_message_count,parse_message_types
verified_labeled,log_0007_vibration_high.bin,downloads/log_0007_vibration_high.bin,downloads/log_0007_vibration_high.bin,894088,00afa36e545470c4379352efc54c3dffdd81381ae3bae19890a1cfa1c96dec40,1,VIBRATION_HIGH,vibration_high,true,ArduPilot_Discuss,https://discuss.ardupilot.org/t/unstable-drone-after-takeoff-crashes/43780,https://discuss.ardupilot.org/uploads/default/original/3X/4/d/4d5d0263578b30d894308c2e124f0a2cc3cdc1e6.bin,downloaded,,,3000,51
verified_labeled,log_0010_rc_failsafe.bin,downloads/log_0010_rc_failsafe.bin,downloads/log_0010_rc_failsafe.bin,139194,0818fe7e5ce3cda47fdf3fef42cb2d02963f354b8b18750fa59edb3d0e035719,1,RC_FAILSAFE,rc_failsafe,true,ArduPilot_Discuss,https://discuss.ardupilot.org/t/pixhawk-clone-2-4-8-motors-not-running-in-the-same-speed/93719,https://discuss.ardupilot.org/uploads/short-url/7Dif4AJuMoDmXUhkloHl8MAlSW4.bin,downloaded,,,3000,39
verified_labeled,log_0004_vibration_high.bin,downloads/log_0004_vibration_high.bin,downloads/log_0004_vibration_high.bin,1132316,1820618f38d81507a1e95ef22f743fbc50817348046d542d9db765ccace2a9d3,1,VIBRATION_HIGH,vibration_high,true,ArduPilot_Discuss,https://discuss.ardupilot.org/t/is-there-a-vibration-issue-here/15264,https://discuss.ardupilot.org/uploads/default/original/2X/4/432a250d1ee9eba3884d92235219876f0514a8d1.bin,downloaded,,,3000,40
verified_labeled,log_0001_vibration_high.bin,downloads/log_0001_vibration_high.bin,downloads/log_0001_vibration_high.bin,987473,33c535f6f0edb143bb85909901be52bd73542206e3116ae9ddf22b1c42606cfb,1,VIBRATION_HIGH,vibration_high,true,ArduPilot_Discuss,https://discuss.ardupilot.org/t/crash-help-with-bin-analysis/42329,https://discuss.ardupilot.org/uploads/default/original/3X/7/6/76e9fe83154fe88ff318770a60b493056acb5ad0.bin,downloaded,,,3000,50
verified_labeled,log_0003_vibration_high.bin,downloads/log_0003_vibration_high.bin,downloads/log_0003_vibration_high.bin,3911181,7065a3cd0fbd3c5ce178964dcbb64979fc878d0900fc5f5cb6f30d60d3d9d794,1,VIBRATION_HIGH,vibration_high,true,ArduPilot_Discuss,https://discuss.ardupilot.org/t/crash-hexacopter-suddenly-crashed-while-auto/83521,https://www.dropbox.com/s/dunql28hfaatnw6/crash.BIN?dl=1,downloaded,,,3000,49
verified_labeled,log_0011_rc_failsafe.bin,downloads/log_0011_rc_failsafe.bin,downloads/log_0011_rc_failsafe.bin,310272,8dda19965da2a82b6a0303fbf2bf8f0ef79451f4a87d0b178bb203c8a7376ff2,1,RC_FAILSAFE,rc_failsafe,true,ArduPilot_Discuss,https://discuss.ardupilot.org/t/no-rc-receiver-lockup-between-flight-controller-and-receiver/45811,https://discuss.ardupilot.org/uploads/default/original/3X/e/2/e2de4f96445c41bb39de162da0afc92f96bc265d.BIN,downloaded,,,3000,39
verified_labeled,log_0005_vibration_high.bin,downloads/log_0005_vibration_high.bin,downloads/log_0005_vibration_high.bin,3941630,a004f350c296ae9f396c8756a95c8b0049913ccc8973c5faf0230eba013ec91d,1,VIBRATION_HIGH,vibration_high,true,ArduPilot_Discuss,https://discuss.ardupilot.org/t/loiter-mode-climb-drift-and-crash/7594,https://www.dropbox.com/s/989sciu6lhluz61/Flight%20log.BIN?dl=1,downloaded,,,3000,34
verified_labeled,log_0006_vibration_high.bin,downloads/log_0006_vibration_high.bin,downloads/log_0006_vibration_high.bin,830387,a7290a8733f121989317d53052b0c6eb58b643dd135938f0c3d3614dbb945d04,1,VIBRATION_HIGH,vibration_high,true,ArduPilot_Discuss,https://discuss.ardupilot.org/t/automission-misses-wp2-flyaway-crash/19146,https://discuss.ardupilot.org/uploads/default/original/2X/1/1a986c229c77716723b88a520e04cacb91ae6803.BIN,downloaded,,,3000,40
verified_labeled,log_0009_rc_failsafe.bin,downloads/log_0009_rc_failsafe.bin,downloads/log_0009_rc_failsafe.bin,471040,af2836cad8f18ca67758f6e45730a2756a37938dfc2f2e2dc6fbb27dca7e5641,1,RC_FAILSAFE,rc_failsafe,true,ArduPilot_Discuss,https://discuss.ardupilot.org/t/radio-failsafe-during-operation/101055,https://discuss.ardupilot.org/uploads/short-url/sB75zhLsNHbvwByMRs0nPqaLtMl.bin,downloaded,,,3000,47
verified_labeled,log_0008_rc_failsafe.bin,downloads/log_0008_rc_failsafe.bin,downloads/log_0008_rc_failsafe.bin,19783680,b89fc87fea657312f90ca28f92e6108f42bc97cb5c27267df8fc82bdfae690c0,1,RC_FAILSAFE,rc_failsafe,true,ArduPilot_Discuss,https://discuss.ardupilot.org/t/radio-failsafe-during-operation/101055,https://www.dropbox.com/s/zmr1y91j84zsoa3/2023-05-11%2017-08-06%28Testing%29.bin?dl=1,downloaded,,,3000,51
verified_labeled,log_0002_vibration_high.bin,downloads/log_0002_vibration_high.bin,downloads/log_0002_vibration_high.bin,879560,c1bcef192fec48c4eadf1da2a5c62215abc035330b9f56bc5b0e8ecd2a78236f,1,VIBRATION_HIGH,vibration_high,true,ArduPilot_Discuss,https://discuss.ardupilot.org/t/copter-crash-althold/60815,https://discuss.ardupilot.org/uploads/short-url/nXvTLdPIdPX5qTGHEma1Ap4asC5.BIN,downloaded,,,3000,51
